Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,47nF,
C10,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,0.01uF,
C11,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,0.022uF,
C12,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,0.1uF,
C13,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,0.047uF,
"C14, C23",CP_Radial_D5.0mm_P2.50mm,2,100uF,
C15,CP_Radial_D5.0mm_P2.50mm,1,47uF,
C2,CP_Radial_D5.0mm_P2.50mm,1,0.47u,
C4,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,250pF,
C5,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,68nF,
C7,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,100pF,
"C8, C9",CP_Radial_D5.0mm_P2.50mm,2,0.47uF,
D1,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4004,
"D4, D5, D8",D_DO-35_SOD27_P7.62mm_Horizontal,3,1N4148,
IN_SLEEVE1,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,1,AudioInput_SLEEVE,
IN_TIP1,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,1,IN_TIP,
OUT_SLEEVE1,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,1,AudioOutput_SLEEVE,
OUT_TIP1,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,1,OUT_TIP,
PWR+2,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,1,PWR+,
PWR-1,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,1,PWR-,
"Q1, Q2, Q3",TO-92_Inline,3,2SC2240,
"R1, R22",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1K,
"R10, R18, R21, R24, R25, R3, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,7,10K,
"R11, R23, R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,100K,
R13,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,4.7k,
"R14, R15",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,2.2K,
"R16, R17",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,6.8K,
"R19, R20",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1M,
"R2, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,470K,
R39,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,47K,
R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,22,
U1,SIP-8_19x3mm_P2.54mm,1,NJM4558,
VR1,POT,1,100KB DIST,
VR2,POT,1,100KB LEVEL,
VR3,POT,1,20KB TONE,
